cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
ST. ERTH CHURCH CEMETERY,1,3,4,United Kingdom,Cornwall
ST. ETIENNE DE LAUZON ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. ETIENNE-AU-MONT COMMUNAL CEMETERY,168,,168,France,Pas de Calais
ST. EUSTACHE CEMETERY,1,1,2,Canada,Quebec
ST. FABIEN PUBLIC CEMETERY,1,,1,Canada,Quebec
ST. FAGANS (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Glamorganshire
ST. FELIX DE VALOIS ROMAN CATHOLIC CEMETERY,2,,2,Canada,Quebec
ST. FERGUS OLD CHURCHYARD,1,3,4,United Kingdom,Aberdeenshire
ST. FINNAN'S ISLE BURIAL GROUND,1,1,2,United Kingdom,Inverness-shire
ST. FLORENCE (ST. FLORENCIUS) CHURCHYARD,1,1,2,United Kingdom,Pembrokeshire
ST. FLORENTIN COMMUNAL CEMETERY,1,,1,France,Yonne
"ST. FRANCIS (ST. PAUL'S) CHURCH CEMETERY, (AROOSTOOK)",1,,1,United States of America,Maine
ST. FUSCIEN COMMUNAL CEMETERY,3,,3,France,Somme
ST. GENNYS (ST. GENESIUS) CHURCHYARD,1,2,3,United Kingdom,Cornwall
ST. GEORGE (ST. GEORGE) CHURCHYARD,2,2,4,United Kingdom,Denbighshire
ST. GEORGE (ST. PETER'S) PROTESTANT CEMETERY,1,,1,Canada,Quebec
"ST. GEORGE CEMETERY, QUEENSLAND",4,,4,Australia,Queensland
"ST. GEORGE RURAL CEMETERY, CHARLOTTE COUNTY",3,12,15,Canada,New Brunswick
"ST. GEORGE'S (RIVER ROAD) CEMETERY, GRENADA",1,3,4,Grenada,
ST. GEORGE'S MILITARY CEMETERY,8,,8,Bermuda,
ST. GEORGE'S ROMAN CATHOLIC CEMETERY,2,,2,Canada,Prince Edward Island
ST. GEORGE-SUPER-ELY (ST. GEORGE) CHURCHYARD,1,,1,United Kingdom,Glamorganshire
ST. GEORGES CHURCHYARD,2,,2,France,Pas de Calais
"ST. GERARD ROMAN CATHOLIC CEMETERY, QUEBEC",1,,1,Canada,Quebec
ST. GERMAIN CEMETERY,1,,1,Canada,Quebec
ST. GERMAIN-AU-MONT-D'OR COMMUNAL CEMETERY,5,,5,France,Rhone
ST. GERMAIN-AU-MONT-D'OR COMMUNAL CEMETERY EXTENSION,105,11,117,France,Rhone
ST. GERMAIN-EN-LAYE NEW COMMUNAL CEMETERY,3,9,21,France,Yvelines
ST. GERMAIN-EN-LAYE OLD COMMUNAL CEMETERY,2,,2,France,Yvelines
ST. GERMANS CHURCH CEMETERY,2,,2,United Kingdom,Cornwall
ST. GLUVIAS CHURCH CEMETERY,5,6,11,United Kingdom,Cornwall
ST. GUILLAUME D'UPTON CEMETERY,1,,1,Canada,Quebec
ST. HELENA (ST. PAUL) CATHEDRAL CHURCHYARD,5,11,16,St. Helena and Ascension Island,
ST. HELENS CEMETERY,185,134,321,United Kingdom,Lancashire
"ST. HELENS CHURCHYARD, RYDE",3,5,8,United Kingdom,Isle of Wight
"ST. HELIER (ALMORAH) CEMETERY, JERSEY",26,2,28,United Kingdom,Channel Islands
"ST. HELIER (MONT-A-L'ABBE) NEW CEMETERY, JERSEY",14,11,25,United Kingdom,Channel Islands
"ST. HELIER (MONT-A-L'ABBE) OLD CEMETERY, JERSEY",3,,3,United Kingdom,Channel Islands
"ST. HELIER WAR CEMETERY, HOWARD-DAVIS PARK, JERSEY",1,40,42,United Kingdom,Channel Islands
"ST. HELIER WESTMOUNT CREMATORIUM, JERSEY",3,,3,United Kingdom,Channel Islands
"ST. HILAIRE CEMETERY EXTENSION, FREVENT",304,,304,France,Pas de Calais
"ST. HILAIRE CEMETERY, FREVENT",210,12,222,France,Pas de Calais
"ST. HILAIRE CEMETERY, MADAWASKA COUNTY",1,1,2,Canada,New Brunswick
ST. HILAIRE LES CAMBRAI BRITISH CEMETERY,40,,40,France,Nord
ST. HILAIRE-COTTES CHURCHYARD,2,,2,France,Pas de Calais
ST. HILARY (ST. HILARY OF POITIERS) CHURCH CEMETERY,2,2,4,United Kingdom,Cornwall
ST. HONORE ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
"ST. HYACINTHE (NOTRE DAME DE ROSAIRE) CEMETERY, QUEBEC",1,,1,Canada,Quebec
ST. IMOGES CHURCHYARD,78,,78,France,Marne
ST. IPPOLLITTS (ST. IPPOLYT) CHURCHYARD,2,,2,United Kingdom,Hertfordshire
ST. ISHMAEL'S (ST. ISHMAEL) CHURCHYARD,1,1,2,United Kingdom,Pembrokeshire
ST. ISIDORE DE PRESCOTT CEMETERY,2,,2,Canada,Ontario
ST. ISSELLS CEMETERY,3,3,6,United Kingdom,Pembrokeshire
ST. IVES (BARNOON) CEMETERY,16,18,34,United Kingdom,Cornwall
ST. IVES CHURCH CEMETERY,3,5,8,United Kingdom,Huntingdonshire
ST. IVES PUBLIC CEMETERY,6,5,11,United Kingdom,Huntingdonshire
ST. JACOBS (CALVARY) UNITED CEMETERY,1,,1,Canada,Ontario
"ST. JACQUES CEMETERY, RESTIGOUCHE COUNTY",1,,1,Canada,New Brunswick
"ST. JAMES PARISH CEMETERY, HOLETOWN",1,,1,Barbados,
ST. JAMES SOUTH ELMHAM (ST. JAMES) CHURCHYARD,1,,1,United Kingdom,Suffolk
ST. JAN-TER-BIEZEN COMMUNAL CEMETERY,1,,1,Belgium,West-Vlaanderen
ST. JEAN DE BREBUEF (BULLARD BROOKE) CEMETERY,1,,1,Canada,Quebec
ST. JEAN-CAP-FERRAT COMMUNAL CEMETERY,1,,1,France,Alpes-Maritimes
"ST. JEAN-DE-DIEU ROMAN CATHOLIC CEMETERY, QUEBEC",1,,1,Canada,Quebec
"ST. JEAN-SUR-RICHELIEU (ST. JAMES) CEMETERY, QUEBEC",7,6,13,Canada,Quebec
"ST. JEAN-SUR-RICHELIEU ROMAN CATHOLIC CEMETERY, QUEBEC",2,4,6,Canada,Quebec
ST. JEROME ROMAN CATHOLIC CEMETERY,2,4,6,Canada,Quebec
"ST. JOHN (CEDAR HILL) CEMETERY, SAINT JOHN COUNTY",11,12,23,Canada,New Brunswick
"ST. JOHN (GREENWOOD) CEMETERY, SAINT JOHN COUNTY",1,4,5,Canada,New Brunswick
"ST. JOHN (HOLY CROSS) CEMETERY, SAINT JOHN COUNTY",1,6,7,Canada,New Brunswick
"ST. JOHN (ST. JOSEPH'S) ROMAN CATHOLIC CEMETERY, SAINT JOHN COUNTY",15,11,26,Canada,New Brunswick
"ST. JOHN (ST. MARY'S) ROMAN CATHOLIC CEMETERY, SAINT JOHN COUNTY",1,,1,Canada,New Brunswick
"ST. JOHN (WESLEYAN) BURIAL GROUND, SAINT JOHN COUNTY",2,,2,Canada,New Brunswick
"ST. JOHN'S (BELVEDERE) ROMAN CATHOLIC CEMETERY, ST. JOHN'S CITY EAST",9,5,14,Canada,Newfoundland and Labrador
"ST. JOHN'S (MOUNT CARMEL) ROMAN CATHOLIC CEMETERY, ST. JOHN'S EAST",11,33,44,Canada,Newfoundland and Labrador
ST. JOHN'S (MOUNT PLEASANT) CEMETERY,12,96,108,Canada,Newfoundland and Labrador
"ST. JOHN'S ANGLICAN CEMETERY, ST. JOHN'S CITY EAST",14,28,43,Canada,Newfoundland and Labrador
"ST. JOHN'S GENERAL PROTESTANT CEMETERY, ST. JOHN'S CITY WEST",9,5,14,Canada,Newfoundland and Labrador
"ST. JOHN'S NEW CEMETERY, JERSEY",1,,2,United Kingdom,Channel Islands
"ST. JOHN'S PARISH CEMETERY, BARBADOS",1,,1,Barbados,
"ST. JOHN'S SALVATION ARMY CEMETERY, ST. JOHN'S CITY WEST",3,,3,Canada,Newfoundland and Labrador
"ST. JOSEPH (ST. THOMAS) CEMETERY, WESTMORELAND COUNTY",3,1,4,Canada,New Brunswick
"ST. JOSEPH D'ALMA CEMETERY, QUEBEC",1,1,2,Canada,Quebec
ST. JOSEPH DE SOREL (ST. JOSEPH'S) CEMETERY,1,,1,Canada,Quebec
ST. JOSEPH'S ROMAN CATHOLIC CEMETERY,1,,1,Canada,Newfoundland and Labrador
ST. JOSEPH-DU-MOINE CEMETERY,2,,2,Canada,Nova Scotia
ST. JOVITE CEMETERY,1,,1,Canada,Quebec
ST. JULIEN DRESSING STATION CEMETERY,428,,428,Belgium,West-Vlaanderen
ST. JUST-IN-PENWITH CHURCH CEMETERY,3,1,4,United Kingdom,Cornwall
ST. JUST-IN-ROSELAND (ST. JUST) CHURCHYARD,3,2,5,United Kingdom,Cornwall
ST. KEVERNE (ST. KEVERNE) CHURCHYARD,3,2,5,United Kingdom,Cornwall
ST. KEW (ST. JAMES THE GREAT) CHURCHYARD,2,2,4,United Kingdom,Cornwall
ST. KILDA GENERAL CEMETERY,4,16,20,Australia,Victoria
ST. LAMBERT ROMAN CATHOLIC CEMETERY,1,4,5,Canada,Quebec
ST. LAURENCE-IN-THANET CHURCHYARD,8,2,10,United Kingdom,Kent
ST. LAURENT GRANDIN CEMETERY,1,,1,Canada,Saskatchewan
ST. LAURENT ROMAN CATHOLIC CEMETERY,3,,3,Canada,Manitoba
ST. LAWRENCE (ST. MATTHEWS) CHURCH CEMETERY,1,,1,Canada,Newfoundland and Labrador
"ST. LAWRENCE CHURCHYARD, ESSEX",2,,2,United Kingdom,Essex
"ST. LAWRENCE CHURCHYARD, JERSEY",3,,3,United Kingdom,Channel Islands
ST. LEGER BRITISH CEMETERY,204,,204,France,Pas de Calais
ST. LEGER CHURCHYARD,6,12,18,Belgium,Hainaut
ST. LEGER-LES-DOMART COMMUNAL CEMETERY,1,,1,France,Somme
ST. LEONARD D'ASTON CEMETERY,1,,1,Canada,Quebec
ST. LEVAN METHODIST CHAPELYARD,1,,1,United Kingdom,Cornwall
ST. LINA ROMAN CATHOLIC CEMETERY,1,,1,Canada,Alberta
ST. LOUIS (BELLEFONTAINE) PUBLIC CEMETERY,1,,1,United States of America,Missouri
"ST. LOUIS-DE-KENT CEMETERY, KENT COUNTY",1,,1,Canada,New Brunswick
"ST. LUCY CHURCHYARD, BARBADOS",1,,1,Barbados,
ST. MABYN CHURCH CEMETERY,3,1,4,United Kingdom,Cornwall
ST. MABYN CHURCHYARD,1,,1,United Kingdom,Cornwall
ST. MADOE'S PARISH CHURCHYARD,2,1,3,United Kingdom,Perthshire
ST. MARGARET'S-AT-CLIFFE (ST. MARGARET) CHURCHYARD,4,3,7,United Kingdom,Kent
"ST. MARK'S (ANGLICAN) CEMETERY, PORTAGE-LA-PRAIRIE",1,,1,Canada,Manitoba
"ST. MARTIN CALVAIRE BRITISH CEMETERY, ST. MARTIN-SUR-COJEUL",231,,231,France,Pas de Calais
"ST. MARTIN CHURCHYARD, JERSEY",3,1,4,United Kingdom,Channel Islands
"ST. MARTIN'S (BERRY'S) BURYING GROUND, SAINT JOHN COUNTY",1,,1,Canada,New Brunswick
"ST. MARTIN'S CHURCHYARD, ISLES OF SCILLY",4,,4,United Kingdom,Cornwall
"ST. MARTIN'S CHURCHYARD, SHROPSHIRE",4,1,5,United Kingdom,Shropshire
"ST. MARTIN'S HOLY TRINITY ANGLICAN CEMETERY, SAINT JOHN COUNTY",1,,1,Canada,New Brunswick
"ST. MARTIN'S NEW CEMETERY, GUERNSEY",5,1,6,United Kingdom,Channel Islands
ST. MARTIN-AUX-BOIS CHURCHYARD,1,,1,France,Oise
ST. MARTIN-BY-LOOE (ST. MARTIN OF TOURS) CHURCHYARD AND CEMETERY,6,4,10,United Kingdom,Cornwall
ST. MARTIN-D'ABLOIS (ABLOIS-ST. MARTIN) COMMUNAL CEMETERY,6,,6,France,Marne
ST. MARTIN-IN-MENEAGE (ST. MARTIN) CHURCHYARD,1,,1,United Kingdom,Cornwall
"ST. MARY CHURCHYARD, JERSEY",1,,1,United Kingdom,Channel Islands
ST. MARY HILL (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Glamorganshire
ST. MARY HOO CHURCHYARD,3,1,4,United Kingdom,Kent
"ST. MARY'S A.D.S. CEMETERY, HAISNES",1812,,1812,France,Pas de Calais
"ST. MARY'S CEMETERY, ONTARIO",6,4,10,Canada,Ontario
"ST. MARY'S ROMAN CATHOLIC CHURCHYARD, DERRYTRASNA",1,2,3,United Kingdom,County Armagh
"ST. MARYCHURCH (ST. MARY) CHURCHYARD, TORBAY",10,3,13,United Kingdom,Devon
"ST. MATTHEW CHURCHYARD, ST. MICHAEL, BARBADOS",1,,1,Barbados,
ST. MAULVIS COMMUNAL CEMETERY,1,,1,France,Somme
ST. MAUR CHURCHYARD,1,,1,Belgium,Hainaut
ST. MAURICE COMMUNAL CEMETERY,1,,1,France,Val de Marne
ST. MAWGAN (SS. MAWGAN AND NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Cornwall
ST. MELLONS CHURCHYARD,2,2,4,United Kingdom,Monmouthshire
ST. MERRYN CHURCHYARD,2,29,31,United Kingdom,Cornwall
ST. METHODE ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. MICHAEL'S (JIREH) BAPTIST CHAPELYARD,1,1,2,United Kingdom,Kent
"ST. MICHAEL'S ROMAN CATHOLIC CEMETERY, PINE MOUNTAIN",1,,1,Australia,Queensland
ST. MICHEL DE BELLECHASSE ROMAN CATHOLIC CEMETERY,1,1,2,Canada,Quebec
ST. MINVER (ST. ENODOC) CHURCHYARD,2,1,3,United Kingdom,Cornwall
ST. MINVER (ST. MENEFREDA) CHURCHYARD,6,1,7,United Kingdom,Cornwall
ST. MINVER (ST. MICHAEL) CHURCHYARD,2,,2,United Kingdom,Cornwall
ST. MONANS CHURCHYARD,2,,2,United Kingdom,Fifeshire
ST. MUNGO OLD PARISH CHURCHYARD,2,,2,United Kingdom,Dumfriesshire
ST. NAZAIRE (TOUTES-AIDES) CEMETERY,92,,92,France,Loire-Atlantique
ST. NEOTS CEMETERY,9,31,56,United Kingdom,Huntingdonshire
ST. NEREE ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. NICHOLAS CHURCHYARD,2,,2,United Kingdom,Glamorganshire
ST. NICHOLAS-AT-WADE CEMETERY,1,2,3,United Kingdom,Kent
ST. NICOLAS BRITISH CEMETERY,364,,364,France,Pas de Calais
ST. NIKLAAS COMMUNAL CEMETERY,1,8,9,Belgium,Oost-Vlaanderen
ST. NINIANS (BANNOCKBURN) PARISH BURIAL GROUND,12,27,39,United Kingdom,Stirlingshire
ST. NINIANS OLD CHURCHYARD,5,,5,United Kingdom,Stirlingshire
"ST. NORBERT ROMAN CATHOLIC CEMETERY, KENT COUNTY",1,,1,Canada,New Brunswick
"ST. OLLE BRITISH CEMETERY, RAILLENCOURT",97,,97,France,Nord
ST. OLLE COMMUNAL CEMETERY,4,,4,France,Nord
ST. OMER ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. OUEN COMMUNAL CEMETERY,29,,29,France,Somme
"ST. OUEN'S CHURCHYARD, JERSEY",5,,6,United Kingdom,Channel Islands
ST. PANCRAS CEMETERY,311,208,520,United Kingdom,Middlesex
ST. PASCAL PARISH CEMETERY,1,,1,Canada,Quebec
"ST. PATRICK'S CATHOLIC CEMETERY, COLEBROOK",1,1,2,Australia,Tasmania
"ST. PATRICK'S CEMETERY, LOOS",637,,637,France,Pas de Calais
ST. PATRICK'S GRAVEYARD,4,,4,"Ireland, Republic of",County Kilkenny
ST. PAUL'S CATHEDRAL,1,,1,United Kingdom,London
ST. PAUL'S CRAY (ST. PAULINUS) CHURCHYARD,1,3,4,United Kingdom,Kent
"ST. PAUL'S LUTHERAN CEMETERY, PEKINA",1,,1,Australia,South Australia
"ST. PAUL'S ROMAN CATHOLIC CEMETERY, LEGERVILLE, KENT COUNTY",1,2,3,Canada,New Brunswick
"ST. PAUL'S ROMAN CATHOLIC CEMETERY, OATLANDS",1,,1,Australia,Tasmania
ST. PAUL'S WALDEN (ALL SAINTS) CHURCHYARD,2,1,3,United Kingdom,Hertfordshire
"ST. PETER (ST. MATTHEW) ROMAN CATHOLIC CHURCHYARD, JERSEY",5,,5,United Kingdom,Channel Islands
"ST. PETER CHURCHYARD, JERSEY",2,,2,United Kingdom,Channel Islands
"ST. PETER PORT (CANDIE ROAD) CHURCH CEMETERY, GUERNSEY",5,,5,United Kingdom,Channel Islands
"ST. PETER PORT (FOULON) CEMETERY, GUERNSEY",6,29,35,United Kingdom,Channel Islands
"ST. PETER PORT (ST. JOHN) CHURCHYARD, GUERNSEY",5,,5,United Kingdom,Channel Islands
ST. PETER'S (CATHOLIC) CEMETERY,1,1,2,Canada,Nova Scotia
ST. PETER-IN-THANET CHURCHYARD,37,14,51,United Kingdom,Kent
"ST. PETER-IN-THE-WOOD PAROCHIAL CEMETERY, GUERNSEY",3,,3,United Kingdom,Channel Islands
"ST. PHILIP CHURCHYARD, BARBADOS",1,,1,Barbados,
ST. PHILIPPE DE NERI CEMETERY,1,,1,Canada,Quebec
"ST. PIERRE CEMETERY, AMIENS",676,82,758,France,Somme
"ST. PIERRE JEWISH CEMETERY, MARSEILLES",1,,1,France,Bouches-du-Rhone
ST. PIERRE-JOLYS ROMAN CATHOLIC CEMETERY,1,,1,Canada,Manitoba
ST. PIERRE-LE-MOUTIER COMMUNAL CEMETERY,1,,1,France,Nievre
ST. PINNOCK (CONNON) METHODIST CHAPELYARD,1,,1,United Kingdom,Cornwall
"ST. POL BRITISH CEMETERY, ST. POL-SUR-TERNOISE",258,6,264,France,Pas de Calais
ST. POL COMMUNAL CEMETERY EXTENSION,226,,226,France,Pas de Calais
ST. QUENTIN (FAUBOURG-D'ISLE) COMMUNAL CEMETERY,1,,1,France,Aisne
ST. QUENTIN CABARET MILITARY CEMETERY,462,,462,Belgium,West-Vlaanderen
ST. QUENTIN NORTHERN COMMUNAL CEMETERY,5,2,7,France,Aisne
ST. QUIVOX CHURCHYARD,3,,3,United Kingdom,Ayrshire
ST. RAPHAEL COMMUNAL CEMETERY,1,,1,France,Var
ST. RAPHAEL DE BELLECHASSE ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. REGIS ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. REMI-DU-NORD COMMUNAL CEMETERY,4,,4,France,Nord
ST. REMY-CHAUSSEE COMMUNAL CEMETERY,14,,14,France,Nord
ST. RIQUIER BRITISH CEMETERY,84,20,104,France,Somme
ST. ROCH DE RICHELIEU PARISH CEMETERY,1,,1,Canada,Quebec
ST. ROMUALD CEMETERY,2,1,3,Canada,Quebec
"ST. SAMPSON CHURCHYARD, GUERNSEY",8,,8,United Kingdom,Channel Islands
"ST. SAVIOUR CHURCHYARD, JERSEY",4,,4,United Kingdom,Channel Islands
"ST. SAVIOURS CHURCH MEMORIAL, LAGOS",39,,39,Nigeria,
"ST. SEVER CEMETERY EXTENSION, ROUEN",8352,332,8685,France,Seine-Maritime
"ST. SEVER CEMETERY, ROUEN",3082,,3083,France,Seine-Maritime
ST. SOUPLET BRITISH CEMETERY,747,,747,France,Nord
ST. STANISLAS DE KOSTKA CEMETERY,1,,1,Canada,Quebec
"ST. STEPHEN RURAL CEMETERY, CHARLOTTE COUNTY",7,8,15,Canada,New Brunswick
ST. STEPHEN'S-BY-SALTASH (ST. STEPHEN) CHURCHYARD,21,20,41,United Kingdom,Cornwall
ST. STEPHEN-IN-BRANNEL (CHURCHTOWN) CEMETERY,5,4,9,United Kingdom,Cornwall
ST. STEPHEN-IN-BRANNEL (NANPEAN) CEMETERY,3,4,7,United Kingdom,Cornwall
ST. SYMPHORIEN MILITARY CEMETERY,513,,513,Belgium,Hainaut
ST. TEATH CHURCH CEMETERY,2,,2,United Kingdom,Cornwall
ST. TELESPHORE CEMETERY,1,,1,Canada,Quebec
ST. THEODORE D'ACTON CEMETERY,2,,2,Canada,Quebec
ST. THERESA (ST. CUTHBERT'S) PARISH CEMETERY,1,,1,Canada,Prince Edward Island
"ST. THOMAS (HOLY ANGELS) ROMAN CATHOLIC CEMETERY, ELGIN COUNTY",1,2,3,Canada,Ontario
"ST. THOMAS (SOUTH PARK) CEMETERY, ELGIN COUNTY",1,8,9,Canada,Ontario
"ST. THOMAS CEMETERY, ELGIN COUNTY",18,4,22,Canada,Ontario
ST. TUDY CHURCH CEMETERY,1,1,2,United Kingdom,Cornwall
ST. VAAST COMMUNAL CEMETERY,2,,2,France,Nord
ST. VAAST COMMUNAL CEMETERY EXTENSION,45,,45,France,Nord
"ST. VAAST POST MILITARY CEMETERY, RICHEBOURG-L'AVOUE",891,,891,France,Pas de Calais
ST. VALERY-SUR-SOMME COMMUNAL CEMETERY,7,10,17,France,Somme
ST. VALLIER ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
ST. VEEP (SS. CYRICIUS AND JULITTA) CHURCHYARD,1,,1,United Kingdom,Cornwall
ST. VENANT COMMUNAL CEMETERY,253,177,430,France,Pas de Calais
"ST. VENANT-ROBECQ ROAD BRITISH CEMETERY, ROBECQ",482,,482,France,Pas de Calais
ST. VIGEANS NEW CEMETERY,1,1,2,United Kingdom,Angus
ST. WAAST-LA-VALLEE COMMUNAL CEMETERY,6,,6,France,Nord
STABANNON CEMETERY,1,,1,"Ireland, Republic of",County Louth
STACKPOLE ELIDOR (SS. ELIDYR AND JAMES) CHURCHYARD,1,,1,United Kingdom,Pembrokeshire
STAFFORD CEMETERY,38,81,119,United Kingdom,Staffordshire
STAGHALL CATHOLIC CHURCHYARD,1,,1,"Ireland, Republic of",County Cavan
"STAGLIENO CEMETERY, GENOA",230,123,366,Italy,
STAGSDEN (ST. LEONARD) CHURCHYARD,3,2,5,United Kingdom,Bedfordshire
STAINES (LONDON ROAD) CEMETERY,9,23,32,United Kingdom,Middlesex
STAINES (ST. MARY) CHURCHYARD EXTENSION,2,,2,United Kingdom,Middlesex
STAINFORTH CEMETERY,5,13,18,United Kingdom,Yorkshire
STAINLAND (PROVIDENCE) CONGREGATIONAL CEMETERY,3,1,4,United Kingdom,Yorkshire
STAINLAND (ST. ANDREW) CHURCHYARD,1,3,4,United Kingdom,Yorkshire
STAINLAND METHODIST CHAPELYARD,1,1,2,United Kingdom,Yorkshire
STALHAM (ST. MARY) CHURCHYARD EXTENSION,1,1,2,United Kingdom,Norfolk
STALHILLE CHURCHYARD,2,,2,Belgium,West-Vlaanderen
STALLING BUSK (ST. MATTHEW) CHURCHYARD,1,,1,United Kingdom,Yorkshire
STALLINGBOROUGH (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
STALYBRIDGE (NEW ST. GEORGE) CHURCHYARD,4,1,5,United Kingdom,Cheshire
STALYBRIDGE (ST. PAUL) CHURCHYARD,37,20,57,United Kingdom,Cheshire
STAMFORD (LONG RIDGE UNION) CEMETERY,1,,1,United States of America,Connecticut
STAMFORD BRIDGE (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Yorkshire
STAMFORD CEMETERY,33,21,54,United Kingdom,Lincolnshire
STANBRIDGE RIDGE CEMETERY,1,,1,Canada,Quebec
STANBURY CEMETERY,3,1,4,United Kingdom,Yorkshire
STAND (ALL SAINTS) CHURCHYARD,6,12,18,United Kingdom,Lancashire
STAND INDEPENDENT CHURCH BURIAL GROUND,1,,1,United Kingdom,Lancashire
STANDING BUFFALO FIRST NATIONS CEMETERY,1,,1,Canada,Saskatchewan
STANDISH (ST. MARIE) ROMAN CATHOLIC CHURCHYARD,1,3,4,United Kingdom,Lancashire
STANDISH (ST. NICHOLAS) CHURCHYARD,3,,3,United Kingdom,Gloucestershire
STANDISH (ST. WILFRID) CHURCHYARD,4,9,13,United Kingdom,Lancashire
STANDON (ST. MARY) CHURCHYARD,2,4,6,United Kingdom,Hertfordshire
STANE CEMETERY,9,12,21,United Kingdom,Lanarkshire
STANFORD (ST. NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Northamptonshire
STANFORD BISHOP (ST. JAMES) CHURCHYARD,1,1,2,United Kingdom,Herefordshire
STANFORD RIVERS (ST. MARGARET) CHURCHYARD,1,2,3,United Kingdom,Essex
STANFORD-IN-THE-VALE (ST. DENYS) CHURCHYARD,1,2,3,United Kingdom,Berkshire
STANFORD-LE-HOPE (ST. MARGARET OF ANTIOCH) CHURCHYARD,6,1,7,United Kingdom,Essex
STANGROUND SOUTH CEMETERY,4,1,5,United Kingdom,Huntingdonshire
STANHOE (ALL SAINTS) CHURCHYARD,1,1,2,United Kingdom,Norfolk
STANHOPE CEMETERY,5,2,7,United Kingdom,Durham
STANHOPE ROMAN CATHOLIC CEMETERY,1,,1,Canada,Quebec
STANLEY (HARELAW) CEMETERY,13,12,25,United Kingdom,Durham
STANLEY (OUTWOOD) CEMETERY,5,5,10,United Kingdom,Yorkshire
"STANLEY (ST. ANDREW) CHURCHYARD, DERBYSHIRE",1,2,3,United Kingdom,Derbyshire
"STANLEY (ST. ANDREW) CHURCHYARD, DURHAM",2,,2,United Kingdom,Durham
STANLEY (ST. ANNE) CHURCHYARD,18,3,21,United Kingdom,Lancashire
STANLEY (ST. JOSEPH AND SACRED HEART) ROMAN CATHOLIC CHURCHYARD,2,2,4,United Kingdom,Durham
STANLEY (ST. PETER) CHURCHYARD,1,1,2,United Kingdom,Yorkshire
STANLEY (ST. THOMAS) CHURCHYARD,2,2,4,United Kingdom,Durham
"STANLEY CEMETERY, FALKLAND ISLANDS",21,12,54,Falkland Islands,
"STANLEY CEMETERY, YORKSHIRE",3,,3,United Kingdom,Yorkshire
STANLEY COMMON (ALL SAINTS) CHURCHYARD,2,,2,United Kingdom,Derbyshire
STANLEY MILITARY CEMETERY,3,597,695,"China, (including Hong Kong)",
STANLEY NEW CEMETERY,16,26,42,United Kingdom,Durham
STANMORE (BERRY CREEK) CEMETERY,1,,1,Canada,Alberta
STANNINGLEY (ST. THOMAS) CHURCHYARD,4,1,5,United Kingdom,Yorkshire
STANNINGTON (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Northumberland
STANNINGTON (UNDERBANK) UNITARIAN CHAPELYARD,4,,4,United Kingdom,Yorkshire
STANNINGTON WESLEYAN METHODIST CHAPELYARD,1,,1,United Kingdom,Yorkshire
STANSTEAD (CRYSTAL LAKE) CEMETERY,2,2,4,Canada,Quebec
STANSTEAD ABBOTS (ST. JAMES) CHURCHYARD,2,,2,United Kingdom,Hertfordshire
STANSTED (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Kent
STANSTED MOUNTFITCHET (ST. MARY) CHURCHYARD,5,4,9,United Kingdom,Essex
STANTHORPE GENERAL CEMETERY,8,3,11,Australia,Queensland
STANTON (ST. MICHAEL AND ALL ANGELS) CHURCHYARD,1,,1,United Kingdom,Gloucestershire
STANTON LACY (ST. PETER) CHURCHYARD,3,,3,United Kingdom,Shropshire
STANTON LONG (ST. MICHAEL) CHURCHYARD,1,1,2,United Kingdom,Shropshire
STANTON ST. JOHN (ST. JOHN THE BAPTIST) CHURCHYARD,1,1,2,United Kingdom,Oxfordshire
STANTON-IN-PEAK CEMETERY,1,,1,United Kingdom,Derbyshire
STANTON-UPON-HINE HEATH (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Shropshire
STANWAY (ST. ALBRIGHT) CHURCHYARD,1,1,2,United Kingdom,Essex
STANWELL BURIAL GROUND,5,1,6,United Kingdom,Middlesex
STANWICK (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Yorkshire
STANWICK (ST. LAWRENCE) CHURCHYARD,3,,3,United Kingdom,Northamptonshire
STAPLE CHURCHYARD,1,,1,France,Nord
STAPLE FITZPAINE (ST. PETER) CHURCHYARD,1,,1,United Kingdom,Somerset
STAPLEFIELD (ST. MARK) CHURCHYARD,2,2,4,United Kingdom,Sussex
